PHASE,TIME,AF3_MOBILITY,AF3_COMPLEXITY,AF3_POW_THETA,AF3_POW_ALPHA,AF3_POW_BETA,AF3_POW_RATIO_THETA,AF3_POW_RATIO_ALPHA,AF3_POW_RATIO_BETA,AF3_SPECTRAL_ENTROPY_THETA,AF3_SPECTRAL_ENTROPY_ALPHA,AF3_SPECTRAL_ENTROPY_BETA
1-2,1602840486.129021,0.0625888620730645,15.97209506643242,0.0,66860.000488,144.28489137658218,0.0,0.9978466318898912,0.0021533681101088497,nan,-1071689.3029351057,-1034.9232676946615
1-2,1602840486.254656,0.06250743409261335,16.005883512438484,0.0,66848.461426,124.84078679527255,0.0,0.9981359619031682,0.0018640380968316906,nan,-1071487.6990639782,-869.3844409872114
1-2,1602840486.380191,0.06243481104903728,16.004399759182608,0.0,66708.33300700001,78.87168450542342,0.0,0.9988190599551255,0.0011809400448744187,nan,-1069039.6852040181,-497.0048366557388
1-2,1602840486.505726,0.06245299757986758,16.040705794343673,0.0,66707.692385,96.47139781731781,0.0,0.9985559074112362,0.0014440925887636241,nan,-1069028.4946475667,-635.9422873246248
1-2,1602840486.631362,0.06221679083528506,16.089762907769142,0.0,66952.30713,153.45636246783738,0.0,0.9977132163545823,0.002286783645417607,nan,-1073302.1350036194,-1114.3517121651696
1-2,1602840486.756397,0.06266652928607021,16.004980214758632,0.0,66683.076172,236.54851933480356,0.0,0.996465184608762,0.003534815391238042,nan,-1068598.4987783595,-1865.4198068207895
1-2,1602840486.880323,0.062459274866505717,15.997559558800337,0.0,66398.461914,121.3620464304997,0.0,0.9981755506974479,0.0018244493025521573,nan,-1063627.811840043,-840.2105046857818
1-2,1602840487.004148,0.06196217834126668,16.15117516513331,0.0,66580.000002,381.35585775557416,0.0,0.9943048366799159,0.005695163320084035,nan,-1066798.1072617702,-3270.124211182431
1-2,1602840487.128074,0.06265542010955269,15.957900174730055,0.0,67318.20556700001,155.93942167907852,0.0,0.9976889011086358,0.0023110988913641255,nan,-1079697.116241569,-1135.9940296368006
1-2,1602840487.252000,0.06263277967343407,15.991632489506367,0.0,67129.615235,133.4494191390299,0.0,0.998016007450371,0.0019839925496290644,nan,-1076400.6738976052,-942.1728118695398
1-2,1602840487.375826,0.06249492205933696,16.001380609062704,0.0,67103.718261,80.19544578962636,0.0,0.9988063296499871,0.001193670350012994,nan,-1075948.0704506207,-507.2721546456961
1-2,1602840487.499755,0.062422527593368145,16.017939264519544,0.0,67031.281739,83.83635679835916,0.0,0.9987508573451559,0.0012491426548440748,nan,-1074682.1682582586,-535.6727471031538
1-2,1602840487.623682,0.062284596017697265,16.058890793584066,0.0,66966.154297,119.35735509256912,0.0,0.9982208176973956,0.001779182302604471,nan,-1073544.0961122916,-823.4635398207056
1-2,1602840487.747608,0.06246226569694694,15.997498882529841,0.0,66876.153811,59.82234147224757,0.0,0.9991062752063856,0.0008937247936144137,nan,-1071971.529353187,-353.10809900730237
1-2,1602840487.871534,0.062207374109917966,16.088689641411612,0.0,67009.872072,322.4894310498621,0.0,0.9952104838765345,0.004789516123465456,nan,-1074308.034080806,-2687.3392802496865
1-2,1602840487.995361,0.0628478802797834,15.830794126641061,0.0,68085.769531,533.2751071804146,0.0,0.9922284679130655,0.00777153208693457,nan,-1093121.5013205095,-4830.798504969574
1-2,1602840488.119288,0.06276114325269382,15.945166763111025,0.0,66804.486814,83.0099005227209,0.0,0.9987589623681536,0.0012410376318463365,nan,-1070719.4262186706,-529.2056733114176
1-2,1602840488.243215,0.06259215750128336,15.996711246524008,0.0,66690.385254,14.742025881182744,0.0,0.9997789971103822,0.00022100288961788796,nan,-1068726.1724131282,-57.226523209669935
1-2,1602840488.367044,0.06241463131395871,16.000922299082927,0.0,66724.358888,91.34068873444832,0.0,0.9986329457101688,0.001367054289831212,nan,-1069319.6324679775,-594.9188734451258
1-2,1602840488.490973,0.062442768322210664,16.029023525585632,0.0,67016.922853,119.04258557489361,0.0,0.9982268433201604,0.00177315667983966,nan,-1074431.2454703138,-820.8383826014453
1-2,1602840488.614902,0.06251281920855215,15.999789537569058,0.0,66978.460452,105.27700908471746,0.0,0.9984306627348276,0.0015693372651723327,nan,-1073759.1335213215,-707.2558526911861
1-2,1602840488.738731,0.06280585464066023,15.978007602565457,0.0,66965.896973,70.88682344910777,0.0,0.9989425682523143,0.0010574317476857026,nan,-1073539.599674719,-435.7728892739673
1-2,1602840488.862660,0.0624464603021653,16.03240687647538,0.0,66724.743164,149.32801062489074,0.0,0.9977670267713333,0.0022329732286667284,nan,-1069326.3452413613,-1078.4978133222396
1-2,1602840488.986790,0.06232377551995354,16.045478420064114,0.0,66854.10253999999,84.53431624849398,0.0,0.9987371371719141,0.0012628628280858545,nan,-1071586.2570124029,-541.1434844681329
1-2,1602840489.110819,0.06202446191139737,16.112586152167545,0.0,67478.718264,608.1550931652687,0.0,0.9910679538774668,0.008932046122533076,nan,-1082503.3794258116,-5624.3979992001
1-2,1602840489.235548,0.0633941370659988,15.785283667315193,0.0,67770.38378999999,657.0277575233255,0.0,0.9903981789948754,0.009601821005124753,nan,-1087604.0125566346,-6149.655311085691
1-2,1602840489.359978,0.06254842648485015,15.990302535996825,0.0,66397.051269,134.29721407500483,0.0,0.9979814445800814,0.00201855541991861,nan,-1063603.1798032443,-949.3853571355111
1-2,1602840489.485012,0.06230060524730516,16.000932037647182,0.0,66272.051758,60.55087174055271,0.0,0.9990871627323515,0.0009128372676486001,nan,-1061420.6673755054,-358.4657519854529
1-2,1602840489.610545,0.06251099842152388,15.988509928384348,0.0,66393.588867,38.37725881252753,0.0,0.9994223073461375,0.000577692653862548,nan,-1063542.7211088915,-201.94803465037666
1-2,1602840489.736080,0.0623948157946538,16.036537612231136,0.0,66841.79492100001,103.19248245181674,0.0,0.9984585480339264,0.0015414519660735034,nan,-1071371.2270229133,-690.2745411040968
1-2,1602840489.861716,0.06260069061137787,15.97127286387469,0.0,66894.74414,46.54116217555024,0.0,0.9993047465108347,0.0006952534891653431,nan,-1072296.341436798,-257.8582992864981
1-2,1602840489.987251,0.06255078108728993,15.976304198999616,0.0,66770.897461,31.498310307378876,0.0,0.9995284853193708,0.0004715146806292817,nan,-1070132.620568816,-156.7734698713041
1-2,1602840490.112686,0.06249094466943934,16.01854418371303,0.0,66748.33349799999,88.55375008038047,0.0,0.9986750766870442,0.0013249233129558084,nan,-1069738.4420558468,-572.8082940184751
1-2,1602840490.236714,0.06264648615768181,15.957346102806545,0.0,66789.744141,113.52570168996829,0.0,0.9983031367232588,0.00169686327674121,nan,-1070461.8688727643,-775.0257910389217
1-2,1602840490.360541,0.06254096348652573,15.998413466494362,0.0,66805.769531,45.61212770561214,0.0,0.9993177085263777,0.0006822914736224061,nan,-1070741.8357544853,-251.38419775006477
1-2,1602840490.484468,0.062394241030838966,16.0508151261283,0.0,66937.050292,171.76060893461974,0.0,0.9974405654543905,0.0025594345456093847,nan,-1073035.5465244583,-1275.1946285293343
1-2,1602840490.608394,0.06255575585135273,15.971190839114014,0.0,67073.974121,91.60637108120503,0.0,0.998636111377136,0.0013638886228639889,nan,-1075428.2475726588,-597.0331674375774
1-2,1602840490.732222,0.06225951179248314,16.036466963457418,0.0,66837.051758,168.7449835288758,0.0,0.9974816360414339,0.0025183639585661544,nan,-1071288.358716013,-1248.4936453000432
1-2,1602840490.856148,0.062491370107758085,15.994506813400958,0.0,67027.307128,15.806532820850723,0.0,0.9997642333125992,0.00023576668740085474,nan,-1074612.7111394184,-62.948711468440294
1-2,1602840490.980074,0.06270153126962272,15.99642644166398,0.0,66932.436036,47.2097976315522,0.0,0.9992951620295393,0.0007048379704606829,nan,-1072954.9208787645,-262.53436414888694
1-2,1602840491.103900,0.062359765808977174,16.04882210154381,0.0,66895.128419,85.24940379872497,0.0,0.998727248090116,0.0012727519098840892,nan,-1072303.0556764717,-546.7570970025466
