TIME,EDA,HR,TEMP,PHASE
13:15:10,7.02038,87.83,35.99,1-2
13:15:10,7.011417999999999,87.83,35.99,1-2
13:15:10,6.999896000000001,87.83,35.99,1-2
13:15:10,6.9832529999999995,87.83,35.99,1-2
13:15:11,6.978130999999999,87.79,35.97,1-2
13:15:11,6.97045,87.79,35.97,1-2
13:15:11,6.956367,87.79,35.97,1-2
13:15:11,6.948686,87.79,35.97,1-2
13:15:12,6.9358830000000005,87.75,35.97,1-2
13:15:12,6.924361,87.75,35.97,1-2
13:15:12,6.914119,87.75,35.97,1-2
13:15:12,6.898756,87.75,35.97,1-2
13:15:13,6.888514,87.43,35.97,1-2
13:15:13,6.875711,87.43,35.97,1-2
13:15:13,6.86675,87.43,35.97,1-2
13:15:13,6.857788,87.43,35.97,1-2
13:15:14,6.852666999999999,87.18,35.97,1-2
13:15:14,6.850105999999999,87.18,35.97,1-2
13:15:14,6.856507000000001,87.18,35.97,1-2
13:15:14,6.86803,87.18,35.97,1-2
13:15:15,6.905157000000001,87.04,35.97,1-2
13:15:15,6.937163000000001,87.04,35.97,1-2
13:15:15,6.947405000000001,87.04,35.97,1-2
13:15:15,6.949966000000001,87.04,35.97,1-2
13:15:16,6.943564,87.08,35.95,1-2
13:15:16,6.924361,87.08,35.95,1-2
13:15:16,6.907717999999999,87.08,35.95,1-2
13:15:16,6.897475999999999,87.08,35.95,1-2
13:15:17,6.885953,87.16,35.95,1-2
13:15:17,6.911558,87.16,35.95,1-2
13:15:17,6.962769000000001,87.16,35.95,1-2
13:15:17,7.012697999999999,87.16,35.95,1-2
13:15:18,7.037023,87.19,35.97,1-2
13:15:18,7.044703999999999,87.19,35.97,1-2
13:15:18,7.037023,87.19,35.97,1-2
13:15:18,7.0152589999999995,87.19,35.97,1-2
13:15:19,6.993494999999999,87.22,35.95,1-2
13:15:19,6.96917,87.22,35.95,1-2
13:15:19,6.946125,87.22,35.95,1-2
13:15:19,6.937163000000001,87.22,35.95,1-2
13:15:20,6.960208000000001,87.21,35.95,1-2
13:15:20,6.998614999999999,87.21,35.95,1-2
13:15:20,7.033182000000001,87.21,35.95,1-2
13:15:20,7.045985000000001,87.21,35.95,1-2
13:15:21,7.042144,87.21,35.93,1-2
13:15:21,7.025500999999999,87.21,35.93,1-2
13:15:21,7.006297,87.21,35.93,1-2
13:15:21,6.988372999999999,87.21,35.93,1-2
13:15:22,6.965329,87.17,35.95,1-2
13:15:22,6.9410039999999995,87.17,35.95,1-2
13:15:22,6.934603,87.17,35.95,1-2
13:15:22,6.9358830000000005,87.17,35.95,1-2
13:15:23,6.956367,87.13,35.93,1-2
13:15:23,6.9973350000000005,87.13,35.93,1-2
13:15:23,7.043424000000001,87.13,35.93,1-2
13:15:23,7.062628,87.13,35.93,1-2
13:15:24,7.07159,87.12,35.91,1-2
13:15:24,7.0639080000000005,87.12,35.91,1-2
13:15:24,7.051106,87.12,35.91,1-2
13:15:24,7.0319020000000005,87.12,35.91,1-2
13:15:25,7.003736,87.12,35.93,1-2
13:15:25,6.981972,87.12,35.93,1-2
13:15:25,6.981972,87.12,35.93,1-2
13:15:25,7.021660000000001,87.12,35.93,1-2
13:15:26,7.080552000000001,87.12,35.91,1-2
13:15:26,7.127921000000001,87.12,35.91,1-2
13:15:26,7.134322,87.12,35.91,1-2
13:15:26,7.121519999999999,87.12,35.91,1-2
13:15:27,7.090794,87.11,35.91,1-2
13:15:27,7.054946000000001,87.11,35.91,1-2
13:15:27,7.021660000000001,87.11,35.91,1-2
13:15:27,6.9832529999999995,87.11,35.91,1-2
13:15:28,6.952527000000001,87.11,35.93,1-2
13:15:28,6.923080000000001,87.11,35.93,1-2
13:15:28,6.896195,87.11,35.93,1-2
13:15:28,6.882113,87.11,35.93,1-2
13:15:29,6.86675,87.14,35.91,1-2
13:15:29,6.859068,87.14,35.91,1-2
13:15:29,6.846265,87.14,35.91,1-2
13:15:29,6.836023,87.14,35.91,1-2
13:15:30,6.828342,87.16,35.91,1-2
13:15:30,6.902596000000001,87.16,35.91,1-2
13:15:30,7.0472649999999994,87.16,35.91,1-2
13:15:30,7.213698,87.16,35.91,1-2
13:15:31,7.321239,87.18,35.93,1-2
13:15:31,7.4390220000000005,87.18,35.93,1-2
13:15:31,7.434488000000001,87.18,35.93,1-2
13:15:31,7.419125,87.18,35.93,1-2
13:15:32,7.408883,87.22,35.89,1-2
13:15:32,7.3666339999999995,87.22,35.89,1-2
13:15:32,7.310303,87.22,35.89,1-2
13:15:32,7.253972,87.22,35.89,1-2
13:15:33,7.214283999999999,87.27,35.89,1-2
13:15:33,7.1938,87.27,35.89,1-2
13:15:33,7.175877000000001,87.27,35.89,1-2
13:15:33,7.154112,87.27,35.89,1-2
13:15:34,7.136189,87.05,35.91,1-2
