PHASE,EDA_MAX,EDA_MIN,EDA_MEAN,EDA_MEDIAN,EDA_MODE,EDA_SD,HR_MAX,HR_MIN,HR_MEAN,HR_MEDIAN,HR_MODE,HR_SD,SKT_MAX,SKT_MIN,SKT_MEAN,SKT_MEDIAN,SKT_MODE,SKT_SD,BVP_MAX,BVP_MIN,BVP_MEAN,BVP_MEDIAN,BVP_MODE,BVP_SD
1 -> 2,3.6182230000000017,3.618222999999998,3.618223,3.6182230000000004,3.6182230000000017,1.6764000044290905e-15,52.0,52.0,52.0,52.0,52.0,0.0,34.65000000000001,34.649999999999984,34.650000000000006,34.650000000000006,34.65000000000001,1.3759600911837627e-14,13.5,10.03,11.8225,11.879999999999999,10.03,1.2993916845970659
1 -> 2,3.6182230000000017,3.618222999999998,3.618223,3.6182230000000004,3.6182230000000017,1.6764000044290905e-15,52.0,52.0,52.0,52.0,52.0,0.0,34.65000000000001,34.649999999999984,34.650000000000006,34.650000000000006,34.65000000000001,1.3759600911837627e-14,13.5,10.03,11.8225,11.879999999999999,10.03,1.2993916845970659
1 -> 2,3.6182230000000017,3.618222999999998,3.618223,3.6182230000000004,3.6182230000000017,1.6764000044290905e-15,52.0,52.0,52.0,52.0,52.0,0.0,34.65000000000001,34.649999999999984,34.650000000000006,34.650000000000006,34.65000000000001,1.3759600911837627e-14,8.86,5.9,7.3575,7.335,5.9,1.0993264983616102
1 -> 2,3.6182230000000017,3.618222999999998,3.618223,3.6182230000000004,3.6182230000000017,1.6764000044290905e-15,52.0,52.0,52.0,52.0,52.0,0.0,34.65000000000001,34.649999999999984,34.650000000000006,34.650000000000006,34.65000000000001,1.3759600911837627e-14,8.86,5.9,7.3575,7.335,5.9,1.0993264983616102
1 -> 2,3.6182230000000017,3.618222999999998,3.618223,3.6182230000000004,3.6182230000000017,1.6764000044290905e-15,52.0,52.0,52.0,52.0,52.0,0.0,34.65000000000001,34.649999999999984,34.650000000000006,34.650000000000006,34.65000000000001,1.3759600911837627e-14,4.75,-0.8,2.1599999999999997,2.3449999999999998,-0.8,2.0788578594988163
1 -> 2,3.6182230000000017,3.618222999999998,3.618223,3.6182230000000004,3.6182230000000017,1.6764000044290905e-15,52.0,52.0,52.0,52.0,52.0,0.0,34.65000000000001,34.649999999999984,34.650000000000006,34.650000000000006,34.65000000000001,1.3759600911837627e-14,4.75,-0.8,2.1599999999999997,2.3449999999999998,-0.8,2.0788578594988163
1 -> 2,3.6182230000000017,3.618222999999998,3.618223,3.6182230000000004,3.6182230000000017,1.6764000044290905e-15,52.0,52.0,52.0,52.0,52.0,0.0,34.65000000000001,34.649999999999984,34.650000000000006,34.650000000000006,34.65000000000001,1.3759600911837627e-14,-3.2,-9.89,-6.6325,-6.72,-9.89,2.495870339180303
1 -> 2,3.6182230000000017,3.618222999999998,3.618223,3.6182230000000004,3.6182230000000017,1.6764000044290905e-15,52.0,52.0,52.0,52.0,52.0,0.0,34.65000000000001,34.649999999999984,34.650000000000006,34.650000000000006,34.65000000000001,1.3759600911837627e-14,-3.2,-9.89,-6.6325,-6.72,-9.89,2.495870339180303
1 -> 2,3.5657300000000016,3.5657299999999967,3.56573,3.5657300000000003,3.5657300000000016,2.0471501066083613e-15,52.0,52.0,52.0,52.0,52.0,0.0,34.65000000000001,34.649999999999984,34.650000000000006,34.650000000000006,34.65000000000001,1.3759600911837627e-14,-11.83,-18.61,-15.0725,-14.925,-18.61,2.525533359510422
1 -> 2,3.5657300000000016,3.5657299999999967,3.56573,3.5657300000000003,3.5657300000000016,2.0471501066083613e-15,52.0,52.0,52.0,52.0,52.0,0.0,34.65000000000001,34.649999999999984,34.650000000000006,34.650000000000006,34.65000000000001,1.3759600911837627e-14,-11.83,-18.61,-15.0725,-14.925,-18.61,2.525533359510422
