,Feature,Ranking
69,O1_SPECTRAL_ENTROPY,1
75,O2_POW_THETA_RELATIVE,1
103,FC6_POW_ALPHA_BY_BETA_H,1
38,FC5_POW_BETA_H_RELATIVE,1
102,FC6_POW_ALPHA_BY_BETA_L,1
99,T8_SPECTRAL_ENTROPY,1
98,T8_POW_BETA_H_RELATIVE,1
96,T8_POW_ALPHA_RELATIVE,1
95,T8_POW_THETA_RELATIVE,1
45,T7_POW_THETA_RELATIVE,1
94,T8_POW_THETA_BY_ALPHA,1
93,T8_POW_ALPHA_BY_BETA_H,1
48,T7_POW_BETA_H_RELATIVE,1
92,T8_POW_ALPHA_BY_BETA_L,1
90,T8_MOBILITY,1
104,FC6_POW_THETA_BY_ALPHA,1
89,P8_SPECTRAL_ENTROPY,1
53,P7_POW_ALPHA_BY_BETA_H,1
87,P8_POW_BETA_L_RELATIVE,1
86,P8_POW_ALPHA_RELATIVE,1
85,P8_POW_THETA_RELATIVE,1
84,P8_POW_THETA_BY_ALPHA,1
58,P7_POW_BETA_H_RELATIVE,1
83,P8_POW_ALPHA_BY_BETA_H,1
82,P8_POW_ALPHA_BY_BETA_L,1
79,O2_SPECTRAL_ENTROPY,1
78,O2_POW_BETA_H_RELATIVE,1
63,O1_POW_ALPHA_BY_BETA_H,1
66,O1_POW_ALPHA_RELATIVE,1
67,O1_POW_BETA_L_RELATIVE,1
68,O1_POW_BETA_H_RELATIVE,1
88,P8_POW_BETA_H_RELATIVE,1
33,FC5_POW_ALPHA_BY_BETA_H,1
35,FC5_POW_THETA_RELATIVE,1
105,FC6_POW_THETA_RELATIVE,1
137,AF4_POW_BETA_L_RELATIVE,1
135,AF4_POW_THETA_RELATIVE,1
3,AF3_POW_ALPHA_BY_BETA_H,1
134,AF4_POW_THETA_BY_ALPHA,1
132,AF4_POW_ALPHA_BY_BETA_L,1
7,AF3_POW_BETA_L_RELATIVE,1
8,AF3_POW_BETA_H_RELATIVE,1
128,F8_POW_BETA_H_RELATIVE,1
126,F8_POW_ALPHA_RELATIVE,1
12,F7_POW_ALPHA_BY_BETA_L,1
13,F7_POW_ALPHA_BY_BETA_H,1
123,F8_POW_ALPHA_BY_BETA_H,1
32,FC5_POW_ALPHA_BY_BETA_L,1
119,F4_SPECTRAL_ENTROPY,1
122,F8_POW_ALPHA_BY_BETA_L,1
118,F4_POW_BETA_H_RELATIVE,1
106,FC6_POW_ALPHA_RELATIVE,1
107,FC6_POW_BETA_L_RELATIVE,1
28,F3_POW_BETA_H_RELATIVE,1
18,F7_POW_BETA_H_RELATIVE,1
108,FC6_POW_BETA_H_RELATIVE,1
25,F3_POW_THETA_RELATIVE,1
27,F3_POW_BETA_L_RELATIVE,1
23,F3_POW_ALPHA_BY_BETA_H,1
112,F4_POW_ALPHA_BY_BETA_L,1
113,F4_POW_ALPHA_BY_BETA_H,1
117,F4_POW_BETA_L_RELATIVE,1
109,FC6_SPECTRAL_ENTROPY,1
73,O2_POW_ALPHA_BY_BETA_H,1
5,AF3_POW_THETA_RELATIVE,2
39,FC5_SPECTRAL_ENTROPY,3
37,FC5_POW_BETA_L_RELATIVE,4
76,O2_POW_ALPHA_RELATIVE,5
16,F7_POW_ALPHA_RELATIVE,6
77,O2_POW_BETA_L_RELATIVE,7
65,O1_POW_THETA_RELATIVE,8
124,F8_POW_THETA_BY_ALPHA,9
139,AF4_SPECTRAL_ENTROPY,10
46,T7_POW_ALPHA_RELATIVE,11
43,T7_POW_ALPHA_BY_BETA_H,12
2,AF3_POW_ALPHA_BY_BETA_L,13
97,T8_POW_BETA_L_RELATIVE,14
127,F8_POW_BETA_L_RELATIVE,15
24,F3_POW_THETA_BY_ALPHA,16
15,F7_POW_THETA_RELATIVE,17
62,O1_POW_ALPHA_BY_BETA_L,18
116,F4_POW_ALPHA_RELATIVE,19
91,T8_COMPLEXITY,20
17,F7_POW_BETA_L_RELATIVE,21
115,F4_POW_THETA_RELATIVE,22
114,F4_POW_THETA_BY_ALPHA,23
52,P7_POW_ALPHA_BY_BETA_L,24
125,F8_POW_THETA_RELATIVE,25
42,T7_POW_ALPHA_BY_BETA_L,26
54,P7_POW_THETA_BY_ALPHA,27
133,AF4_POW_ALPHA_BY_BETA_H,28
72,O2_POW_ALPHA_BY_BETA_L,29
136,AF4_POW_ALPHA_RELATIVE,30
47,T7_POW_BETA_L_RELATIVE,31
138,AF4_POW_BETA_H_RELATIVE,32
80,P8_MOBILITY,33
56,P7_POW_ALPHA_RELATIVE,34
36,FC5_POW_ALPHA_RELATIVE,35
64,O1_POW_THETA_BY_ALPHA,36
74,O2_POW_THETA_BY_ALPHA,37
6,AF3_POW_ALPHA_RELATIVE,38
55,P7_POW_THETA_RELATIVE,39
9,AF3_SPECTRAL_ENTROPY,40
26,F3_POW_ALPHA_RELATIVE,41
29,F3_SPECTRAL_ENTROPY,42
22,F3_POW_ALPHA_BY_BETA_L,43
49,T7_SPECTRAL_ENTROPY,44
81,P8_COMPLEXITY,45
50,P7_MOBILITY,46
14,F7_POW_THETA_BY_ALPHA,47
57,P7_POW_BETA_L_RELATIVE,48
19,F7_SPECTRAL_ENTROPY,49
129,F8_SPECTRAL_ENTROPY,50
59,P7_SPECTRAL_ENTROPY,51
44,T7_POW_THETA_BY_ALPHA,52
4,AF3_POW_THETA_BY_ALPHA,53
34,FC5_POW_THETA_BY_ALPHA,54
131,AF4_COMPLEXITY,55
51,P7_COMPLEXITY,56
70,O2_MOBILITY,57
130,AF4_MOBILITY,58
60,O1_MOBILITY,59
111,F4_COMPLEXITY,60
40,T7_MOBILITY,61
41,T7_COMPLEXITY,62
100,FC6_MOBILITY,63
120,F8_MOBILITY,64
101,FC6_COMPLEXITY,65
110,F4_MOBILITY,66
21,F3_COMPLEXITY,67
71,O2_COMPLEXITY,68
30,FC5_MOBILITY,69
61,O1_COMPLEXITY,70
10,F7_MOBILITY,71
31,FC5_COMPLEXITY,72
121,F8_COMPLEXITY,73
20,F3_MOBILITY,74
11,F7_COMPLEXITY,75
0,AF3_MOBILITY,76
1,AF3_COMPLEXITY,77
